date,ted
15/2/2012,0.39
16/2/2012,0.39
17/2/2012,0.4
21/2/2012,0.41
22/2/2012,0.4
23/2/2012,0.4
24/2/2012,0.39
27/2/2012,0.37
28/2/2012,0.39
29/2/2012,0.4
1/3/2012,0.4
2/3/2012,0.41
5/3/2012,0.39
6/3/2012,0.39
7/3/2012,0.39
8/3/2012,0.39
9/3/2012,0.38
12/3/2012,0.38
13/3/2012,0.39
14/3/2012,0.38
15/3/2012,0.39
16/3/2012,0.38
19/3/2012,0.37
20/3/2012,0.37
21/3/2012,0.38
22/3/2012,0.39
23/3/2012,0.39
26/3/2012,0.38
27/3/2012,0.38
28/3/2012,0.38
29/3/2012,0.4
30/3/2012,0.4
2/4/2012,0.39
3/4/2012,0.39
4/4/2012,0.39
5/4/2012,0.39
10/4/2012,0.38
11/4/2012,0.38
12/4/2012,0.38
13/4/2012,0.38
16/4/2012,0.39
17/4/2012,0.39
18/4/2012,0.4
19/4/2012,0.4
20/4/2012,0.39
23/4/2012,0.39
24/4/2012,0.38
25/4/2012,0.38
26/4/2012,0.38
27/4/2012,0.38
30/4/2012,0.37
1/5/2012,0.38
2/5/2012,0.39
3/5/2012,0.38
4/5/2012,0.4
8/5/2012,0.38
9/5/2012,0.38
10/5/2012,0.37
11/5/2012,0.37
14/5/2012,0.37
15/5/2012,0.38
16/5/2012,0.37
17/5/2012,0.37
18/5/2012,0.39
21/5/2012,0.38
22/5/2012,0.38
23/5/2012,0.38
24/5/2012,0.37
25/5/2012,0.38
29/5/2012,0.38
30/5/2012,0.4
31/5/2012,0.4
1/6/2012,0.4
6/6/2012,0.38
7/6/2012,0.38
8/6/2012,0.38
11/6/2012,0.38
12/6/2012,0.37
13/6/2012,0.37
14/6/2012,0.36
15/6/2012,0.38
18/6/2012,0.37
19/6/2012,0.38
20/6/2012,0.38
21/6/2012,0.38
22/6/2012,0.37
25/6/2012,0.36
26/6/2012,0.36
27/6/2012,0.37
28/6/2012,0.37
29/6/2012,0.37
2/7/2012,0.36
3/7/2012,0.37
5/7/2012,0.38
6/7/2012,0.38
9/7/2012,0.37
10/7/2012,0.37
11/7/2012,0.36
12/7/2012,0.36
13/7/2012,0.36
16/7/2012,0.36
17/7/2012,0.36
18/7/2012,0.37
19/7/2012,0.36
20/7/2012,0.36
23/7/2012,0.35
24/7/2012,0.35
25/7/2012,0.35
26/7/2012,0.34
27/7/2012,0.34
30/7/2012,0.33
31/7/2012,0.33
1/8/2012,0.34
2/8/2012,0.35
3/8/2012,0.35
6/8/2012,0.34
7/8/2012,0.33
8/8/2012,0.33
9/8/2012,0.33
10/8/2012,0.34
13/8/2012,0.32
14/8/2012,0.33
15/8/2012,0.34
16/8/2012,0.34
17/8/2012,0.34
20/8/2012,0.32
21/8/2012,0.32
22/8/2012,0.32
23/8/2012,0.32
24/8/2012,0.32
28/8/2012,0.32
29/8/2012,0.3
30/8/2012,0.32
31/8/2012,0.33
4/9/2012,0.31
5/9/2012,0.3
6/9/2012,0.3
7/9/2012,0.3
10/9/2012,0.3
11/9/2012,0.3
12/9/2012,0.29
13/9/2012,0.29
14/9/2012,0.28
17/9/2012,0.27
18/9/2012,0.28
19/9/2012,0.27
20/9/2012,0.26
21/9/2012,0.26
24/9/2012,0.26
25/9/2012,0.25
26/9/2012,0.25
27/9/2012,0.27
28/9/2012,0.26
1/10/2012,0.27
2/10/2012,0.26
3/10/2012,0.26
4/10/2012,0.25
5/10/2012,0.24
9/10/2012,0.25
10/10/2012,0.24
11/10/2012,0.24
12/10/2012,0.22
15/10/2012,0.22
16/10/2012,0.23
17/10/2012,0.21
18/10/2012,0.22
19/10/2012,0.22
22/10/2012,0.22
23/10/2012,0.21
24/10/2012,0.2
25/10/2012,0.2
26/10/2012,0.19
29/10/2012,0.17
31/10/2012,0.2
1/11/2012,0.22
2/11/2012,0.22
5/11/2012,0.2
6/11/2012,0.21
7/11/2012,0.21
8/11/2012,0.21
9/11/2012,0.22
13/11/2012,0.2
14/11/2012,0.21
15/11/2012,0.23
16/11/2012,0.25
19/11/2012,0.22
20/11/2012,0.23
21/11/2012,0.21
23/11/2012,0.21
26/11/2012,0.21
