,Symbol,Company Name,Industry,Market Cap
165,AHH,armada-hoffler-properties,REIT - Diversified,1038266742
166,AHI,advanced-human-imaging,Software - Application,13469624
167,AHT,ashford-hospitality-trust,REIT - Hotel & Motel,63082684
168,AI,c3ai,Information Technology Services,2911452300
169,AIB,aib-acquisition,Shell Companies,49809363
170,AIG,aig,Insurance - Diversified,48883045200
171,AIH,aestic-medical-international-holdings-group,Medical Care Facilities,23954461
172,AIHS,senmiao-technology,Credit Services,6218269
173,AIM,aim-immunotech,Biotechnology,21851777
174,AIMAU,aimfinity-investment-i,Shell Companies,20177
175,AIMD,ainos,Biotechnology,4818144
176,AIN,albany-international,Textile Manufacturing,2967636153
177,AINC,ashford,Asset Management,9031284
178,AIP,arteris,Semiconductors,230166594
179,AIR,aar-corp,Aerospace & Defense,2202936330
180,AIRC,apartment-income-reit,REIT - Residential,4821370400
181,AIRE,realpha-tech,Real Estate Services,55593846
182,AIRG,airgain,Communication Equipment,44699036
183,AIRI,air-industries-group,Aerospace & Defense,12650682
184,AIRS,airsculpt-technologies,Medical Care Facilities,427299965
185,AIRT,air-t,Integrated Freight & Logistics,47450910
186,AISP,airship-ai-holdings,Software - Infrastructure,33800000
187,AIT,applied-industrial-technologies,Industrial Distribution,7073811635
188,AITR,ai-transportation-acquisition,Shell Companies,82320678
189,AIU,meta-data,Education & Training Services,76253100
190,AIV,apartment-investment-and-management-,REIT - Residential,1090284800
191,AIXI,xiao-i,Software - Application,134020405
192,AIZ,assurant,Insurance - Specialty,8775267516
193,AJG,arthur-gallagher,Insurance Brokers,50248566000
194,AJX,great-ajax,REIT - Mortgage,159597214
195,AKA,aka-brands-holding,Internet Retail,100327847
196,AKAM,akamai,Software - Infrastructure,18765009120
197,AKAN,akanda,Drug Manufacturers - Specialty & Generic,1584019
198,AKBA,akebia-rapeutics,Biotechnology,310841837
199,AKLI,akili,Health Information Services,20203928
200,AKO.A,embotelladora-andina,Beverages - Non-Alcoholic,2081487263
